Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-
0.64453125;109.29359072406;3.70452880859375E-05;0.64520263671875;3;1018;0.00528933485783637;-0.000203567555174232
0.65460205078125;109.394298723806;3.829345703125E-05;0.6552734375;3;1019;0.00528933485783637;-0.000203567555174232
0.6646728515625;109.495006723552;3.86505126953125E-05;0.665496826171875;3;1020;0.00528933485783637;-0.000203567555174232
0.67474365234375;109.595714723297;3.87420654296875E-05;0.675506591796875;3;1021;0.00528933485783637;-0.000203567555174232
0.684814453125;109.696422723043;4.02099609375E-05;0.685546875;3;1022;0.00528933485783637;-0.000203567555174232
0.69488525390625;109.797130722789;3.97674560546875E-05;0.695709228515625;3;1023;0.00528933485783637;-0.000203567555174232
0.7049560546875;109.897838722535;4.11834716796875E-05;0.70562744140625;3;1024;0.00528933485783637;-0.000203567555174232
0.71502685546875;109.99854672228;4.1461181640625E-05;0.71575927734375;3;1025;0.00528933485783637;-0.000203567555174232
0.72509765625;110.099254722026;4.1912841796875E-05;0.725921630859375;3;1026;0.00528933485783637;-0.000203567555174232
0.73516845703125;110.199962721772;4.32403564453125E-05;0.7359619140625;3;1027;0.00528933485783637;-0.000203567555174232
0.7452392578125;110.300670721518;4.30328369140625E-05;0.745941162109375;3;1028;0.00528933485783637;-0.000203567555174232
0.75531005859375;110.401378721263;4.4708251953125E-05;0.75531005859375;3;1029;0.00528933485783637;-0.000203567555174232
0.765380859375;110.502086721009;4.4940185546875E-05;0.765380859375;3;1030;0.00528933485783637;-0.000203567555174232
0.77545166015625;110.602794720755;4.59564208984375E-05;0.77545166015625;3;1031;0.00528933485783637;-0.000203567555174232
0.7855224609375;110.703502720501;4.72381591796875E-05;0.7855224609375;3;1032;0.00528933485783637;-0.000203567555174232
0.79559326171875;110.804210720246;4.75433349609375E-05;0.7952880859375;3;1033;0.00528933485783637;-0.000203567555174232
0.8056640625;110.904918719992;4.94537353515625E-05;0.80535888671875;3;1034;0.00528933485783637;-0.000203567555174232
0.81573486328125;111.005626719738;4.99114990234375E-05;0.8160400390625;3;1035;0.00528933485783637;-0.000203567555174232
0.8258056640625;111.106334719483;5.15960693359375E-05;0.82611083984375;3;1036;0.00528933485783637;-0.000203567555174232
0.83587646484375;111.207042719229;5.3125E-05;0.8355712890625;3;1037;0.00528933485783637;-0.000203567555174232
0.845947265625;111.307750718975;5.42144775390625E-05;0.845947265625;3;1038;0.00528933485783637;-0.000203567555174232
0.85601806640625;111.408458718721;5.66497802734375E-05;0.85601806640625;3;1039;0.00528933485783637;-0.000203567555174232
0.8660888671875;111.509166718466;5.771484375E-05;0.8660888671875;3;1040;0.00528933485783637;-0.000203567555174232
0.87615966796875;111.609874718212;6.02325439453125E-05;0.87615966796875;3;1041;0.00528933485783637;-0.000203567555174232
0.88623046875;111.710582717958;6.2164306640625E-05;0.88653564453125;3;1042;0.00528933485783637;-0.000203567555174232
0.89630126953125;111.811290717704;6.4239501953125E-05;0.89630126953125;3;1043;0.00528933485783637;-0.000203567555174232
0.9063720703125;111.911998717449;6.73828125E-05;0.9063720703125;3;1044;0.00528933485783637;-0.000203567555174232
0.91644287109375;112.012706717195;6.9366455078125E-05;0.91644287109375;3;1045;0.00528933485783637;-0.000203567555174232
0.926513671875;112.113414716941;7.3028564453125E-05;0.92620849609375;3;1046;0.00528933485783637;-0.000203567555174232
0.93658447265625;112.214122716687;7.58056640625E-05;0.9368896484375;3;1047;0.00528933485783637;-0.000203567555174232
0.9466552734375;112.314830716432;7.92236328125E-05;0.9466552734375;3;1048;0.00528933485783637;-0.000203567555174232
