#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2_real
#Serial Number: SN:210321A1A021
#Date Time: 2021-05-20 12:59:33.568
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Exponential RMS Average
#Weight: 50 
#Window: Flat Top
#Channel: C1
#Range: 5.50527 V
#Offset: -0.00024545 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51558 V
#Offset: -6.09869e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace 1 (dBV),Phase (deg)
341.796875,-83.70308915866173,117.8828786579729
346.6796875,-83.73841269068018,93.46890849412888
351.5625,-83.78054487566627,73.36624287433256
356.4453125,-82.62405422759065,37.1204200084734
361.328125,-82.01934909190891,159.3706404243947
366.2109375,-82.30553975684035,147.7525171837878
371.09375,-83.0393402042467,54.0832149246601
375.9765625,-83.59222967950632,99.89807456785547
380.859375,-83.09227466391384,103.0236814940734
385.7421875,-83.30227751532948,113.0330038985174
390.625,-83.33673091622579,122.5391699939152
395.5078125,-83.48793732901613,134.0107257328576
400.390625,-83.87645137319323,148.5549797587862
405.2734375,-83.59372708486924,173.8574727810827
410.15625,-84.13931476916667,39.66337719195749
415.0390625,-84.52241062707384,65.27356306328532
419.921875,-84.99991085467072,57.966847055397
424.8046875,-85.48432527458056,41.52921042980049
429.6875,-84.77742674499376,13.19818899882132
434.5703125,-84.64896697501244,33.8906276843161
439.453125,-84.7321154503681,172.3659206110194
444.3359375,-84.5417450459355,167.8003362019642
449.21875,-84.35747825672875,171.9067672451625
454.1015625,-84.13134774055678,170.8434051106525
458.984375,-84.22702005713822,178.719524031398
463.8671875,-84.32392861705991,25.94072768787669
468.75,-84.02593273323355,72.58502910504733
473.6328125,-83.73830085694776,128.8047501755844
478.515625,-83.87425634562311,13.02971279598082
483.3984375,-84.62356916670045,47.17995321273253
488.28125,-85.04011713263824,48.27370427815001
493.1640625,-84.45912239744484,44.23112204926347
498.046875,-84.13637626688563,35.01741371541709
502.9296875,-83.87884456188503,14.17118849931475
507.8125,-83.90414023264144,165.3769162966307
512.6953125,-84.15292453395207,145.582426295693
517.578125,-83.45164570490422,123.9834793192052
522.4609375,-83.11244732409675,108.3145542840175
527.34375,-83.50342381419136,85.90418201235491
532.2265625,-83.98276223450603,18.18463220690616
537.109375,-84.92478936285579,154.3055433305861
541.9921875,-85.02916073815207,135.6095329217179
546.875,-84.97273507313663,130.6445954969934
551.7578125,-85.36078987905277,131.8731966047985
556.640625,-85.89775462083821,135.7808396056753
561.5234375,-85.78618237635014,139.3682098475565
566.40625,-85.37230064541099,125.5658758057595
571.2890625,-84.98719563975642,150.2910758041067
576.171875,-84.91867182998747,144.4654349159554
581.0546875,-84.4333214635523,176.6149803747987
585.9375,-83.92160133132546,128.8898852482746
590.8203125,-83.93362368768018,139.8272731516193
595.703125,-84.64240103763831,118.2555713471079
600.5859375,-85.1239408920023,92.54135236108758
605.46875,-84.56746445762897,78.63403995667164
610.3515625,-84.39309246907511,74.65618501128581
615.234375,-84.373651265052,89.57068376859594
620.1171875,-84.51463974299072,154.6811351504531
625,-84.85811076282587,173.3667846580587
629.8828125,-84.53980422429821,159.1527047131863
634.765625,-84.51142661187569,141.713622266257
639.6484375,-84.78601669123464,124.0948266267833
644.53125,-85.36233963352744,97.54923315369599
649.4140625,-85.81081855827109,85.88838377523112
654.296875,-85.96795316400873,110.9985919626265
659.1796875,-86.39763299466189,45.74998273254002
664.0625,-86.67561766517213,59.76178227975655
668.9453125,-86.625396826619,54.41077275207375
673.828125,-86.74304062026144,62.86375408835382
678.7109375,-86.34750802955463,89.24874662267766
683.59375,-85.72272811171935,107.0514358576758
688.4765625,-85.00247370674256,129.7034524261601
693.359375,-84.60410004622609,157.2610400924385
698.2421875,-84.61153218079842,172.4947597036538
703.125,-84.75518869516543,171.9163670035519
708.0078125,-85.17511185560544,166.2876062125376
712.890625,-85.94872259354575,162.5360354225636
717.7734375,-85.86924401760407,152.3268146007067
722.65625,-85.46844352606442,131.0149569690524
727.5390625,-85.30672412302111,35.98853338020593
732.421875,-85.55163348319883,18.80033517157845
737.3046875,-85.61786718802225,26.26682650575063
742.1875,-85.17020127589279,76.08211380878755
747.0703125,-85.2018894844372,117.1620978540013
751.953125,-85.62623547894802,146.1508046219851
756.8359375,-85.75924887281927,159.2819457003099
761.71875,-85.82431924936265,150.2007005146685
766.6015625,-85.85875392393152,132.0996815997746
771.484375,-86.3285575267823,84.74098844590984
776.3671875,-86.23531415405039,50.34563427842728
781.25,-86.03906384739827,45.91429987497873
786.1328125,-86.22279546097889,43.7412449970093
791.015625,-86.52434953600616,53.5893201637378
795.8984375,-86.44747191273872,64.87953942349141
800.78125,-86.24610697041047,21.45166884376816
805.6640625,-86.39174983673597,98.9644723130173
810.546875,-86.31242733861151,92.1120525709231
