#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2_real
#Serial Number: SN:210321A1A021
#Date Time: 2021-05-20 11:05:41.041
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Exponential dB Average
#Weight: 150 
#Window: Flat Top
#Channel: C1
#Range: 5.50527 V
#Offset: -0.00024545 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51558 V
#Offset: -6.09869e-05 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Noise
#Frequency: 50 kHz
#Period: 20 us
#Amplitude: 4 mV
#Offset: 0 V

Frequency (Hz),Trace 1 (VHz),Phase (deg)
791.015625,1.571880457991411e-05,118.1749141839422
795.8984375,1.579908399713967e-05,30.22147780398279
800.78125,1.555818336759385e-05,173.3462199595967
805.6640625,1.565969862650543e-05,169.6818115250379
810.546875,1.651814811184269e-05,165.2797483516044
815.4296875,1.712063097793484e-05,139.993081260718
820.3125,1.707979249403703e-05,89.09601193341855
825.1953125,1.706145232548899e-05,29.97591364368922
830.078125,1.681653519849865e-05,151.0488608798678
834.9609375,1.664786702427155e-05,92.56303112416107
839.84375,1.622343194977755e-05,66.90082988512333
844.7265625,1.563210216844811e-05,59.53755681895262
849.609375,1.568588523365215e-05,59.84652450433115
854.4921875,1.634035882453615e-05,62.38332708524191
859.375,1.691563415041276e-05,66.93348970621743
864.2578125,1.689637286125873e-05,66.15435836024852
869.140625,1.642490962987768e-05,29.43192373163373
874.0234375,1.621236192765742e-05,178.2181309240252
878.90625,1.61253661894569e-05,7.760431776442637
883.7890625,1.610830859823754e-05,101.4740604215595
888.671875,1.621685131916966e-05,110.6517477731149
893.5546875,1.665269212183575e-05,114.4317002130388
898.4375,1.738170455442299e-05,136.6522153958493
903.3203125,1.750560264213349e-05,56.95038641676953
908.203125,1.693352366864441e-05,113.9688002597501
913.0859375,1.628496920430641e-05,121.8010416690639
917.96875,1.622453553476473e-05,129.0059731875832
922.8515625,1.619934125519111e-05,129.8489408929198
927.734375,1.633773131831995e-05,118.7374140924043
932.6171875,1.637063672612296e-05,84.19438618053255
937.5,1.666984691687891e-05,11.72586840082409
942.3828125,1.70516547611768e-05,8.161796011366979
947.265625,1.673839379018358e-05,34.82010955395213
952.1484375,1.647436913481704e-05,22.91738444446541
957.03125,1.674876728735537e-05,18.26852713647671
961.9140625,1.702696739482848e-05,16.48595949831243
966.796875,1.676715060388239e-05,15.22598377487679
971.6796875,1.63065493280155e-05,3.970758196577568
976.5625,1.606820252148955e-05,142.1141297895205
981.4453125,1.604868916640321e-05,74.33984810476554
986.328125,1.59341675646785e-05,60.0919916404766
991.2109375,1.631036580298132e-05,53.3710536107287
996.09375,1.632745458077216e-05,42.11472713977921
1000.9765625,1.667143607278336e-05,31.35365303698519
1005.859375,1.666632068693597e-05,14.48855713362099
1010.7421875,1.627070410605717e-05,72.22631880592701
1015.625,1.609648173899108e-05,17.68231417970486
1020.5078125,1.583633589876957e-05,6.074560402750122
1025.390625,1.578661726934606e-05,6.264654920684419
1030.2734375,1.550383080174107e-05,12.92571206649456
1035.15625,1.544891194083173e-05,24.50620771104007
1040.0390625,1.567001348390385e-05,38.66624519125876
1044.921875,1.568625078696069e-05,39.70037008676241
